# Earth Party real-star selection
# Source: CDS V/50 Bright Star Catalogue, 5th Revised Ed.
# Source URL: https://cdsarc.cds.unistra.fr/ftp/V/50/catalog.gz
# Source SHA-256: 3dc44b1e90be8fbe5bcc7656032560f51275f985c7e3f783c9028e1838ec7bed
# Coordinates: J2000 equatorial; magnitude: Johnson V; color: B-V
display_name	hr	bayer	constellation	ra_degrees	dec_degrees	vmag	bv	spectral_type	selection
Sargas	6553	The	Sco	264.33000000	-42.99777778	1.870	0.400	F1II	bright,Sco
Kap Sco	6580	Kap	Sco	265.62208333	-39.03000000	2.410	-0.220	B1.5III	Sco
Iot1Sco	6615	Iot	Sco	266.89625000	-40.12694444	3.030	0.510	F2Iae	Sco
Alnasl	6746	Gam	Sgr	271.45208333	-30.42416667	2.990	1.000	K0III	Sgr
Kaus Media	6859	Del	Sgr	275.24875000	-29.82805556	2.700	1.380	K3-IIIa*	Sgr
Kaus Australis	6879	Eps	Sgr	276.04291667	-34.38472222	1.850	-0.030	B9.5III	bright,Sgr
Kaus Borealis	6913	Lam	Sgr	276.99250000	-25.42166667	2.810	1.040	K1+IIIb	Sgr
Vega	7001	Alp	Lyr	279.23458333	38.78361111	0.030	0.000	A0Va	bright,Lyr
6Zet1Lyr	7056	Zet	Lyr	281.19333333	37.60500000	4.360	0.190	A4m	Lyr
27Phi Sgr	7039	Phi	Sgr	281.41416667	-26.99083333	3.170	-0.110	B8III	Sgr
Sheliak	7106	Bet	Lyr	282.52000000	33.36277778	3.450	0.000	B8IIpe	Lyr
12Del2Lyr	7139	Del	Lyr	283.62583333	36.89888889	4.300	1.680	M4II	Lyr
Nunki	7121	Sig	Sgr	283.81625000	-26.29666667	2.020	-0.220	B2.5V	Sgr
Sulafat	7178	Gam	Lyr	284.73583333	32.68944444	3.240	-0.050	B9III	Lyr
Ascella	7194	Zet	Sgr	285.65291667	-29.88027778	2.600	0.080	A2III+A4IV	Sgr
40Tau Sgr	7234	Tau	Sgr	286.73500000	-27.67055556	3.320	1.190	K1+IIIb	Sgr
Albireo	7417	Bet	Cyg	292.68041667	27.95972222	3.080	1.130	K3II+B9.5V	Cyg
Fawaris	7528	Del	Cyg	296.24375000	45.13083333	2.870	-0.030	B9.5IV+F1V	Cyg
Tarazed	7525	Gam	Aql	296.56500000	10.61333333	2.720	1.520	K3II	Aql
Altair	7557	Alp	Aql	297.69583333	8.86833333	0.770	0.220	A7V	bright,Aql
Alshain	7602	Bet	Aql	298.82833333	6.40666667	3.710	0.860	G8IV	Aql
Sadr	7796	Gam	Cyg	305.55708333	40.25666667	2.200	0.680	F8Ib	Cyg
Peacock	7790	Alp	Pav	306.41208333	-56.73500000	1.940	-0.200	B2IV	bright
Deneb	7924	Alp	Cyg	310.35791667	45.28027778	1.250	0.090	A2Ia	bright,Cyg
Aljanah	7949	Eps	Cyg	311.55291667	33.97027778	2.460	1.030	K0-III	Cyg
Alnair	8425	Alp	Gru	332.05833333	-46.96111111	1.740	-0.130	B7IV	bright
Fomalhaut	8728	Alp	PsA	344.41291667	-29.62222222	1.160	0.090	A3V	bright
Scheat	8775	Bet	Peg	345.94375000	28.08277778	2.420	1.670	M2.5II-III	Peg
Markab	8781	Alp	Peg	346.19041667	15.20527778	2.490	-0.040	B9V	Peg
